,x,y,price_level,category,predicted_success,distance_to_water,restaurant_density,crime_count,population,share_under_18_years_old,share_65_year_olds_and_older,share_foreigners,population_with_migration_background,share_population_with_migration_background,households,share_one_person_households,share_households_with_children,share_households_with_single_parents,population_density,employment_quote_in_%,share_unemployed_people,sum_of_incomes_per_tax_reliable_person_in_EUR,prices_for_properties,prices_for_condominiums,share_students_in_Gymnasium,car_density
303,565645.0,5936563,€,hotdogs,1.1086345860936442,54.99725,9,1494.0,17822.0,15.7,20.41858377,12.78195489,4592.0,25.77169155,10812.0,59.572697,15.8527562,21.76196033,8691.435276,47.72247106,3.549395758,111088.0,3771,8101,82.17054264,384.8614072
302,565645.0,5935563,€,hotdogs,1.1086345860936442,113.08346999999999,22,1772.0,16456.0,13.6,15.7936315,16.82061254,4882.0,29.67781155,10668.0,64.8856393,13.37645294,22.63489839,6016.138723,50.9962169,2.90037831,68191.0,3376,6178,82.05980066,328.8162372
199,561645.0,5933563,€,hotdogs,1.1086345860936442,52.65942,27,2798.0,35370.0,15.7,13.44642352,13.05060786,9189.0,25.99507765,21458.0,60.9003635,17.3548327,27.52416756,12653.87744,57.4233605,4.447031432,40830.0,1483,5083,49.09443726,277.3536896
200,561645.0,5934563,€,hotdogs,1.1086345860936442,336.16695,59,2798.0,35370.0,15.7,13.44642352,13.05060786,9189.0,25.99507765,21458.0,60.9003635,17.3548327,27.52416756,12653.87744,57.4233605,4.447031432,40830.0,1483,5083,49.09443726,277.3536896
201,561645.0,5935563,€,hotdogs,1.1086345860936442,177.93473,8,2901.0,31047.0,16.4,12.83537862,24.25677199,11413.0,36.75447636,16486.0,59.26240446,17.09329128,24.34350603,2945.363973,54.56384991,6.356398187999999,33565.0,674,3739,41.55555556,283.31239730000004
183,560645.0,5943563,€,hotdogs,1.1086345860936442,85.79819,7,1848.0,29409.0,18.6,20.0584855,13.83590057,9101.0,30.94736126,14247.0,42.94237383,23.09959992,24.12640535,3285.6438359999997,57.74692332,4.828021458,37866.0,466,2750,40.34582133,411.7787072
203,561645.0,5937563,€,hotdogs,1.1086345860936442,129.38835,7,2303.0,25634.0,13.8,19.12303971,18.47156121,8586.0,33.48543349,14439.0,57.60094189,15.06337004,24.36781609,4209.747395,59.33811487,4.96978596,32600.0,492,3340,48.63013699,318.79534989999996
301,565645.0,5934563,€,hotdogs,1.1086345860936442,92.2046,78,4893.0,12657.0,11.4,14.26088331,21.39527534,4714.0,37.2471555,8743.0,69.43840787,11.40340844,29.08726179,5595.732556,58.35761865,5.85970025,34521.0,.    ,4265,46.564885499999995,250.2962787
467,571645.0,5941563,€,hotdogs,1.1086345860936442,146.41862,9,3906.0,51858.0,14.5,21.81148521,11.40421921,14564.0,28.10660594,29760.0,53.43413978,16.42473118,28.92798691,5151.867482,61.16343489999999,5.2806531560000005,30928.0,444,2818,42.23385689,399.0705388
178,560645.0,5938563,€,hotdogs,1.1086345860936442,145.88233,4,2303.0,25634.0,13.8,19.12303971,18.47156121,8586.0,33.48543349,14439.0,57.60094189,15.06337004,24.36781609,4209.747395,59.33811487,4.96978596,32600.0,492,3340,48.63013699,318.79534989999996
300,565645.0,5933563,€,hotdogs,1.1086345860936442,26.284259999999996,74,,2257.0,11.6,10.98803722,22.95081967,965.0,42.75587062,1463.0,61.51742994,12.78195489,26.20320856,1735.6902460000001,61.79458239,4.909706546000001,31336.0,.    ,4113,45.45454545,311.4754098
175,560645.0,5935563,€,hotdogs,1.1086345860936442,123.19588999999999,12,2901.0,31047.0,16.4,12.83537862,24.25677199,11413.0,36.75447636,16486.0,59.26240446,17.09329128,24.34350603,2945.363973,54.56384991,6.356398187999999,33565.0,674,3739,41.55555556,283.31239730000004
596,575645.0,5942563,€,hotdogs,1.1086345860936442,286.24939,4,5976.0,90631.0,17.3,22.67215412,12.51117167,28324.0,31.26579903,46401.0,46.10460981,20.45861081,26.96723902,3411.543072,58.15357766,5.108202443,33419.0,418,2670,41.36980909,397.46885719999995
328,566645.0,5933563,€,hotdogs,1.1086345860936442,88.40583000000001,26,,2257.0,11.6,10.98803722,22.95081967,965.0,42.75587062,1463.0,61.51742994,12.78195489,26.20320856,1735.6902460000001,61.79458239,4.909706546000001,31336.0,.    ,4113,45.45454545,311.4754098
409,569645.0,5934563,€,hotdogs,1.1086345860936442,12.96134,5,3175.0,38136.0,11.4,14.38011328,17.98300818,13286.0,34.84121365,25809.0,68.14677051,10.93029563,31.761786600000004,9806.623908,64.53758227,5.587114652,25745.0,367,2984,38.48101266,269.4042375
460,571645.0,5934563,€,hotdogs,1.1086345860936442,89.09139,7,3633.0,38549.0,15.4,15.83439259,25.21466186,19325.0,50.1401069,22646.0,59.06561865,15.78203656,32.98824846,6536.393312,54.79051759,7.1665997,21685.0,300,2610,29.6781233,262.44519959999997
296,565645.0,5929563,€,hotdogs,1.1086345860936442,19.10193,5,6671.0,55074.0,20.9,13.33115445,33.95613175,33262.0,60.38852578,25984.0,48.63762315,23.33743842,26.418205800000003,1556.34644,50.59246055,9.392859015,21890.0,184,2593,22.04227285,245.61499069999996
88,556645.0,5925563,€,hotdogs,1.1086345860936442,395.16104,4,2011.0,28991.0,19.3,20.81680522,15.80835432,12885.0,44.46783545,13506.0,38.94565378,23.25633052,25.46959567,1287.148774,55.54343677,7.0076893710000006,31101.0,266,1993,33.05322129,355.59311510000003
240,563645.0,5924563,€,hotdogs,1.1086345860936442,200.12424,5,1593.0,21798.0,17.1,15.76750161,23.49298101,9537.0,43.75172034,12044.0,55.20591166,18.93058784,26.57894737,1676.2235150000001,57.12126191,5.987512323,30132.0,314,2478,32.427695,286.8153042
412,569645.0,5937563,€,hotdogs,1.1086345860936442,59.962819999999994,5,,34792.0,10.4,14.53782479,13.21280754,9200.0,26.45274447,23727.0,68.8371897,10.67138703,28.79146919,11253.086720000001,65.60934263,4.50932379,32679.0,808,4094,44.98861048,288.0834675
358,567645.0,5935563,€,hotdogs,1.1086345860936442,61.32589,20,1347.0,9886.0,11.9,16.32611774,18.81448513,3546.0,35.89432129,6229.0,65.30743297,11.22170493,21.17310443,8561.153143000001,58.60356009,4.22243687,39541.0,1475,4273,50.37878788,273.7204127
