,distance
fm7Np2nLRTJypqEnxUEfJA,54.678593569660364
d3IaAPXLTYkqGqukAB81ig,76.68906731447098
SNPvqQxaRxQIra7hgjev2Q,24.018063963760167
RXRh4Wb1Os3YT2Fam1swVA,216.50822801929402
nUOFGotik8BYpYlFNev2wQ,205.20098761609617
SlTXq8HEtujfMAVIyvBYHg,162.54320372008493
XPuVFytYhvVWWXO01qGyew,52.22225077263079
FRmfMd1RyzCEGobD0V4SwQ,206.06459359461442
e1MAQ0OCg675wVd3DeB3Tw,202.65123978372827
zDBc6IZrtooKf3VIjwNbIA,74.4511056949512
V4bKMm8OGNYtdGsZNyt5fg,33.35784581548435
iky1wcqgbisBxoQR-AS4kQ,120.77669159857936
rDlxd3UlHXEkW57iYRzuRw,42.3415180522876
U9PC9xkZgrE_sRpktMvnaA,52.80926775305328
9nxX8JqkPfknCMZDoDQXbQ,195.55577422055043
TGllMw7dQQtI2ZvtS868mA,185.46544180483855
vk3-NnVUiAvUP38GlzQzGA,30.542971478570113
4FpU3bFIM9Qg_WU--dIXMg,94.94991386960096
tgldf5W4qcSGZElSAqchMg,145.0487095312163
K4B-CHJDsU_In3DP2LziiA,8.797954841706503
EZILGQV8FIXerqudRluW4Q,134.26005190468052
SGap-Co7AAtFf9Oe8GfH5g,94.33834896077339
uowcUv_zNFP2MIHxcVMvwQ,201.08835789172682
smxdoZuHpRCuDDVqCaqcDQ,145.10213868181006
Yesr7nanDZ6qj_B9KlTWUA,80.7930311862345
BpSJW907Ej6BBEXxNG2gAw,153.02805055570937
HNqlIYhxzjON1G_cQ6ilbw,159.81175835309216
Sj3UwAhi9vGlIKnXqkeRxQ,109.23122566691623
gIrRs118ZpavQ1dFibXAlA,206.79116400740492
YljwUsa40IemittL_EO12w,135.7743930053685
e0VSS8cgiOI05OFDJTtcJA,202.22211989977237
tw9C5ljsuxZHQK4s89LpvA,235.41867862670702
QKXV1M2pdEvzJTtJf4ctEA,198.22992334205225
P8P5_LvPRtGXRGJyMs6skg,85.95348555071078
2ncLFilbbL3p2VwDs9fpGQ,117.15005028854031
MmYbD5eULMcs2pgW3hOrCw,202.59180597409608
7N9yEdpjKU2hFEhuKJDUsw,57.832792952885285
yqk1NxWrR6Jp3IOyks0cSQ,70.82442137547706
rAsVelSwPKX0rwgdY9du6A,254.09254732375405
sEkpM7--ZMmNjrVd6MNyOA,181.67349851835058
ZowjZ9bdVgxpVWOM4k-1UA,146.97076016755943
mcoIIcxFqpgcsQsSB7w4gg,199.34094821426854
ctCDPQumN0wiEQqkEk0Jzw,89.49741520769406
YegaVSTIXDOqvF4UKbRrwA,69.96703419724284
BFSov6Q4m4OGbudFU3DvZA,164.22070778584177
TGlVX1NeqMNA95qxbES1Rg,259.53981785072904
3YztXT5dmOGD-i9ZwYfDWw,153.02805055570937
il8FEDFNPrw_B8UfjigGkw,205.19056411942717
xwYBQiBbAXJl3sAZwwsaUg,120.77669159857936
_vg4pfyemc0v2DEhXlfV_w,140.541150197089
3oy0T0eSrgkYIG3OVt31CQ,335.3736558503605
xIius7WMA0Bi73G0Pr1ebg,162.1152201495207
w3OLrOWhMpVNcX4z-L6tIA,43.82044569212136
nBgzcYJxYY3TAhfP-L0H3Q,176.27509131100095
-T6JvFBrGMa1iS1O5JbJ2g,62.368217118163756
g0y_UjeNh4fAs7_1mvQAIg,50.02428331784289
Mht3cgKJjA_rrfxla8x6rA,106.14721424954223
jNjcKjZidgN5OHsg1MatuQ,7.3229167983647905
zJS8PYfLlhzWN9dJto6wrw,41.248051111578086
