,id,price,rating,review_count,is_closed,zip_code,epsg25832_latitude,epsg25832_longitude,epsg4326_latitude,epsg4326_longitude,success
73,wvRJ8mCla84xgmhUSDTCLQ,€€,5.0,8,False,21217.0,567203.9604392438,5919703.649161465,53.4221,10.0113,-0.5885616474201443
74,RpZVnL5yUtAT_ekn5Pl1Hw,€€,4.5,3,False,21217.0,568109.7717364879,5919571.928471265,53.4208,10.0249,-0.7016378030996858
75,v0MuvytyXWDq07H_FwFH3g,,4.0,3,False,21217.0,567469.3529436514,5919736.348173731,53.42236,10.0153,0.14059501402683225
76,b46QX6Nbw6Tqe1qMWGd7sg,€€,3.5,21,False,21217.0,567810.4516472657,5919122.568739632,53.4168,10.0203,-0.2945636426533361
77,VPnbRnsLFoVTLhjgMufPPg,€€,5.0,2,False,21220.0,568970.1243084933,5916626.871877167,53.39422,10.0372,-0.7242530342355942
78,wGI7bc8xPGfRyipbLUpuJQ,,3.5,2,False,21220.0,568970.1217795071,5916626.893085822,53.3942201909401,10.0371999666095,-0.22495202244293164
79,lQIqGbPNK2jLB7Vq7NHdcQ,€€,3.5,2,False,21220.0,569430.5713432193,5916976.290609615,53.3973,10.0442,-0.7242530342355942
80,yjEueSbnyjuK2-HAZQ086g,,5.0,1,False,21220.0,569151.8328300533,5916708.516158902,53.39493,10.03995,-0.5904990589126955
81,RGUXwvfaYmRFORYMnjC7TA,€€,4.0,4,False,21217.0,567554.4907770433,5918168.694803448,53.40826,10.016245,-0.6790225719637776
82,3a0yvBPCr-6AA46liTbHrA,€€,4.0,21,False,21220.0,568831.3363867211,5914731.089650545,53.3772,10.0347,-0.2945636426533361
83,cN8AZ0WIpZPqf-Gp_ktrHA,€€,4.0,9,False,21217.0,567850.6641767677,5919482.3370591225,53.4200282,10.020982400000001,-0.5659464162842359
84,k-yuRshvkiuH_YKsfCADqw,,4.0,1,False,21220.0,568493.7759803736,5915715.371430817,53.38609,10.02984,-0.5904990589126955
85,y6YdR41FdfoQpQ9F55ALVw,€,4.5,3,False,21220.0,568948.5849093703,5915408.18207806,53.383269999999996,10.036610000000001,-0.528983191118211
86,CW8OV3BVxikixMJrqVS7YQ,€€,4.0,1,False,21217.0,568439.5628406876,5919793.649709913,53.42275,10.0299099,-0.7468682653715025
87,mENn7IU3YB42_13jVDbJow,€,4.5,17,False,21220.0,568806.2400685512,5914764.1060347585,53.3775,10.03433,-0.01177545275729521
88,UE-1d29OEoGaBKgyZfmsnQ,€€,3.5,20,False,21217.0,567834.4729191825,5919859.501967788,53.42341999999999,10.02082,-0.3171788737892444
89,1YPoKTBjDprApFZ7ve7AnA,€,4.0,1,False,21217.0,568077.5355910704,5919733.915982345,53.422259999999994,10.02445,-0.6028700108840561
90,VqKI2tR7tNUCzDPEZkDl6A,€,4.0,1,False,21220.0,568290.9216970999,5916175.319238146,53.39025,10.02689,-0.6028700108840561
91,zZAiLx6p1vM4UkE40o3VIg,,1.0,1,False,21217.0,567957.5676608615,5919525.237378106,53.4204,10.0226,-0.5904990589126955
92,JDkH_lSN7mAUOeFJ7et6ow,€€,4.0,12,False,21217.0,570524.3316138375,5920895.802770468,53.4323807,10.0615234,-0.49810072287651097
93,UFgYw6g6sRPsT7CP9nsO0w,€,3.5,10,False,21217.0,570524.3316138375,5920895.802770468,53.4323807,10.0615234,-0.2703793219377531
94,6njTD0ZBG9O-y1O2jm7Ddg,,5.0,1,False,21224.0,558358.3270548782,5917394.637705665,53.4024,9.87778,-0.5904990589126955
95,EEKdJbl4YyUORyUArak_XQ,€,4.5,2,False,21224.0,558857.945598511,5918124.016992397,53.4089,9.88543,-0.5659266010011336
96,ELshs9ioj0Uzv9_AXAGdaw,,4.5,4,False,21224.0,556943.2853376367,5917900.3733237665,53.4071,9.856589999999999,0.5061420504965961
97,fOHSKKnIxqduCxecsZJC_w,,5.0,2,False,21244.0,558184.9455910983,5913364.825446775,53.3662,9.87443,-0.22495202244293164
98,wpGydxJrBuTsmNYuSBD8Mw,,5.0,1,False,21224.0,559183.541085689,5917924.457412748,53.40707,9.89029,-0.5904990589126955
99,R-qkNDj-JJ56P8cB95hxqQ,€,3.0,3,False,21244.0,558157.4013912053,5913434.916758269,53.36683299999999,9.874029,-0.528983191118211
100,TI2orC_tUrfypZpFjXbLOg,,3.0,2,False,21224.0,559346.1162326329,5917896.447616997,53.4068,9.89273,-0.22495202244293164
101,hupBDwEm2VXHR3CU8oh_WA,€€,3.0,12,False,21244.0,558075.4465722161,5913067.529906075,53.36354,9.87273,-0.49810072287651097
102,oXxMdWPxtjqXdlHMM145lA,€,3.5,9,False,21224.0,559501.4874983033,5914783.038039782,53.3788,9.89448,-0.3073227318206757
103,VbfhaETEByAuRuq5Lr37Jg,,3.0,4,False,21224.0,559587.2596657571,5914893.1397272665,53.3797799,9.89579,0.5061420504965961
104,QyjsnQNKCaswI-0sCobI6Q,,2.5,9,False,21224.0,559654.216057829,5919777.3227013815,53.423669999999994,9.89772,2.333877232845416
105,YLoGj1U0_jJy1Hf3nx-FaQ,€,4.5,13,False,21224.0,560261.1058887765,5920850.537983132,53.433246700000005,9.907057,-0.15954909228898545
106,e-iWta6fZSAxxqOpPy0ZrQ,€,3.5,10,False,21224.0,561775.5240902011,5913399.033437455,53.3661,9.92839,-0.2703793219377531
107,MC0hhfCNSBo7BrJjDR8BNw,€€,4.5,17,False,21077.0,562152.4933436316,5921092.299917175,53.4352,9.93557,-0.38502456719696937
108,Tl_AKFJyIG7z7wmPBZ2gHQ,,4.5,2,False,21218.0,563707.4027981983,5919648.585641816,53.422039,9.9586802,-0.22495202244293164
109,YFPL5w5keAybWu4vdyVvNg,€€,3.5,3,False,21218.0,563404.4610804188,5917872.729950712,53.4061149,9.953764999999999,-0.7016378030996858
110,yWMgcEEYVr4CGQF3Wb0l-Q,€€,3.5,7,False,21224.0,562667.6623792779,5913421.844820855,53.3662,9.9418,-0.6111768785560525
111,BrGgp-LimE5DBPaMSG8CSQ,€€,4.0,27,False,21218.0,565338.5083154343,5915552.395729595,53.385025,9.982372999999999,-0.15887225583788617
112,E3TH-n5p92IcGCmA56FO_w,€€,4.0,4,False,21218.0,564945.3149643664,5915638.794062418,53.38585,9.97648,-0.6790225719637776
113,RdTUH49yyWvn0VfpeF6EFg,€€,4.5,8,False,21218.0,565446.4966133432,5915183.925874059,53.3817,9.98392,-0.5885616474201443
114,BHNcHdohBm-CXaLPbm7xOg,,5.0,1,False,21218.0,565100.7809464657,5915846.764301461,53.3877,9.978860000000001,-0.5904990589126955
115,v4YTTPwAFACR5CSGiYGN0w,€€,5.0,7,False,21218.0,565448.7024166267,5915167.244225836,53.3815498,9.983949699999998,-0.6111768785560525
116,fW460rrxThrFlHGThSx_Dg,€€€,3.0,52,False,21218.0,565402.2905318219,5915688.461485753,53.38624,9.983360000000001,0.10385015203101863
117,GHoTbTE7KLHhAa5uiWmYow,€€,4.5,19,False,21218.0,565369.3163047257,5915788.479956113,53.387143,9.982885000000001,-0.3397941049251527
118,FYX0aKiLRAtvA66MndlPVw,€€,3.5,14,False,21077.0,565312.9752573115,5920770.966769222,53.43193,9.98307,-0.4528702606046943
119,JYvmyWarOyFnifcMFK4ZXw,€€,4.0,14,False,21218.0,565237.32922095,5915349.057732171,53.38321,9.98081,-0.4528702606046943
120,SHKM2iuxD_4A81opu08ieg,€€,4.5,5,False,21218.0,565185.9312523786,5914305.719368674,53.37383929999999,9.9798221,-0.6564073408278692
121,CqAsA5szZG0hPwNOEsocfw,€,3.0,2,False,21218.0,565282.5027628614,5915498.774198878,53.38455,9.98152,-0.5659266010011336
122,J8B4htIIMhFbWnzz1MynwA,,4.5,2,False,21218.0,565040.0230100879,5915280.704146235,53.382619999999996,9.97783,-0.22495202244293164
123,MyFNVSZYDGoCpPWFyaxKXg,,2.0,1,False,21218.0,565372.2201899372,5916577.280959233,53.394231999999995,9.983092,-0.5904990589126955
124,YQBtXX3wwLm_nNjpF0Fu2A,€€,3.5,9,False,21218.0,565479.1928177375,5915562.6790331425,53.3851,9.98449,-0.5659464162842359
125,sJordO9bdzZQtldyxgSIig,€€,3.0,9,False,21218.0,565103.7088752008,5915702.14847003,53.386399899999994,9.9788742,-0.5659464162842359
126,0iI4ba-9QJiZFWenxmenzQ,€,3.5,5,False,21218.0,565286.5545433825,5915494.379305705,53.38451,9.981580000000001,-0.4550963713523659
127,B1hR8uGN6_TuZbu0U7KicA,€€,4.0,11,False,21218.0,565347.4571502565,5915661.002641186,53.386,9.98253,-0.5207159540124193
128,OHXNXNW-Io_s9atVpWwyRg,,3.0,14,False,21077.0,565217.9471578045,5919694.382327268,53.422266,9.981417,4.161612415194235
129,HHo7REfDa2YRSQSHH_TqiQ,€€€€,3.0,12,False,21077.0,565235.3592850126,5919602.705031757,53.421439899999996,9.98166,-0.31048054984347084
130,fWkMk9WO8ox-wwx5VUvkWg,€,2.0,4,False,21218.0,565553.4767506715,5915674.969701454,53.3861,9.98563,-0.49203978123528846
131,9_Z0Q-eN-FaiE-_krHSz8g,€€,4.0,2,False,21217.0,565706.6897152874,5918477.236642483,53.411266299999994,9.988516800000001,-0.7242530342355942
132,i-2zqkUS_wywLbNx0yGsJA,€,3.0,2,False,21218.0,565629.4015931147,5913020.116304634,53.362230000000004,9.98622,-0.5659266010011336
133,7LnBhCOlK-XqTcpfOU6m2A,€€,4.0,13,False,21217.0,565924.2806501959,5918301.774179355,53.4096622,9.9917531,-0.4754854917406027
