,x,y,distance_to_water,restaurant_density
165,552645.0,5925563,363.7746068460045,0
166,552645.0,5926563,457.95990687714976,0
167,552645.0,5927563,156.42369389741086,0
168,552645.0,5928563,44.07526141930341,0
169,552645.0,5929563,298.72037652180325,0
170,552645.0,5930563,394.6785989590482,0
171,552645.0,5931563,306.35114950051326,0
172,552645.0,5932563,7.881493042399872,0
173,552645.0,5933563,9.122308235630545,0
174,552645.0,5934563,8.083801293099555,1
175,552645.0,5935563,745.5165635654944,1
176,552645.0,5936563,15.008850604556503,0
177,552645.0,5937563,44.58429262967085,1
178,552645.0,5938563,228.76093504702024,0
179,552645.0,5939563,308.07792542759563,0
180,552645.0,5940563,149.8766460772434,0
181,552645.0,5941563,1130.084756875769,0
182,552645.0,5942563,1654.4786747078856,0
183,552645.0,5943563,1819.4479086554604,0
184,552645.0,5944563,2425.5889387029897,0
185,552645.0,5945563,3233.6624293215677,0
186,552645.0,5946563,4126.701311465785,0
187,552645.0,5947563,5059.916473747467,0
188,552645.0,5948563,6014.6359597691835,0
189,552645.0,5949563,6982.04387953815,0
190,552645.0,5950563,7957.513917238455,0
191,552645.0,5951563,8938.406947006344,0
192,552645.0,5952563,9923.114922116887,0
193,552645.0,5953563,10910.604967864358,0
194,552645.0,5954563,11900.184526806042,0
195,553645.0,5916563,5386.187891698065,0
196,553645.0,5917563,4690.163059759324,0
